,result
302,0.770651219826492
303,0.09853893392508284
304,0.21292903806136534
305,0.8250200696845342
306,0.3985565963668118
307,0.486341088218156
308,0.9242021370647567
309,0.09094321522590944
310,0.5832429617681111
311,0.1609213664882149
312,0.21317923732771007
313,0.8170175702221484
314,0.23642423838980228
315,0.14071502213291948
316,0.8267383427226054
317,0.8166464052687319
318,0.21045999125154932
319,0.17297760728492256
320,0.38687751030436285
321,0.3233133287550322
322,0.38181649937364875
323,0.15457794011095902
324,0.1397046764954718
325,0.4893254882801877
326,0.16640802626314677
327,0.2475516192028108
328,0.7863943902626295
329,0.9567195837580043
330,0.12249883756345038
331,0.1894619238770892
332,0.20766901057130469
333,0.9416506920910465
334,0.9239174339878242
335,0.3622216797970987
336,0.7906692683780244
337,0.9310225252942665
338,0.9103593151468381
339,0.4370735323406629
340,0.3104016935659146
341,0.5759239449785042
342,0.9636815216260317
343,0.20897186340859744
344,0.9483067504351994
345,0.9094730510104169
346,0.8400805995925381
347,0.8713673074970448
348,0.5918431718214053
349,0.947272448378877
350,0.8572844388093698
351,0.1929467059771055
352,0.9182334202676468
353,0.35657087002368315
354,0.9373380587129936
355,0.7106077564127644
356,0.3019591324075982
357,0.7275130359141901
358,0.3026850883830974
359,0.5921302647534633
360,0.1603651933200532
361,0.649824741183542
362,0.7302384246375053
363,0.1060300295774792
364,0.2670428048247421
365,0.19500565245171136
366,0.14742182949807317
367,0.17210410173730292
368,0.3168596312544794
369,0.6965121996894658
370,0.966179520224218
371,0.6933316406653355
372,0.4164079163461974
373,0.19458462675075888
374,0.9382517473504428
375,0.5490327942118733
376,0.17375658822230436
377,0.21317923732771007
378,0.4767501585156786
379,0.6091826011859037
380,0.3697208827261885
381,0.13118962198678558
382,0.42245877983392116
383,0.8736764030965251
384,0.947804915528986
385,0.2758550952021557
386,0.8385297907969655
387,0.9613065319263899
388,0.9262042926214283
389,0.1456721604639309
390,0.9599764352494055
391,0.29214169153684344
392,0.3985565963668118
393,0.16944974463085236
394,0.7599911290282053
395,0.6861992775280562
396,0.9156891236607368
397,0.6449940391589939
398,0.8942645122246549
399,0.34763203132317655
400,0.9047905828991272
401,0.5629169665780042
402,0.28169737829681124
403,0.9366722632568667
404,0.9515628405469123
405,0.56152878189043
406,0.74984047815992
407,0.12946352990125318
408,0.9250430474994153
409,0.3103233313671215
410,0.8593494996027186
411,0.5829878106520955
412,0.19443133625802392
413,0.2376367409690246
414,0.2772355269955276
415,0.18669437140163864
416,0.8874011503950038
417,0.9239995580333634
418,0.06869611443958232
419,0.1646104873232968
420,0.19574123272832603
421,0.1595592102345263
422,0.08776367386936915
423,0.3547355698357392
424,0.5408189048581168
425,0.6467425709716154
426,0.9340087625974002
427,0.5713767491268398
428,0.6396041635070409
429,0.3447564424423589
430,0.1504446383768303
431,0.937091882571689
432,0.9625584666542769
433,0.7489008344793793
434,0.13511036532657514
435,0.9450126461397168
436,0.9287360775482463
437,0.6568944115691296
438,0.16060673546605345
439,0.9468560729839901
440,0.20626995294030778
441,0.571725960438289
442,0.4974465897920096
443,0.198870066853022
444,0.8514780894539816
445,0.8150840726653081
446,0.1485750576852421
447,0.16357291909590208
448,0.6568527807537389
449,0.17733241222708282
450,0.9028558086191346
451,0.2209795005195338
452,0.8920984928133288
453,0.6412415476859167
454,0.8852454798131274
455,0.7509720325131667
456,0.31058860676653055
457,0.9462059441485484
458,0.9529361867207421
459,0.12255514899132089
460,0.8113502835929867
461,0.19192800032339913
462,0.15202545175628684
463,0.8775117354151583
464,0.9143674682426405
465,0.3449795552611317
466,0.7142259784032156
467,0.19422477981159056
468,0.43720539572478195
469,0.8620181102470208
470,0.24027949078171143
471,0.31056216756016036
472,0.7712144117644079
473,0.443945278407709
474,0.21317923732771007
475,0.6551301168767083
476,0.8677150174008865
477,0.4263993219365174
478,0.24779907666673553
479,0.9236893874510207
480,0.1768153235957162
481,0.2290879707464191
482,0.8355572115992521
483,0.10052988165643857
484,0.20626995294030778
485,0.8633141156950337
486,0.9420800745336976
487,0.9603971357818907
488,0.2804809719563554
489,0.30992775589599786
490,0.48932501762004166
491,0.2566806943965955
492,0.22513901696085428
493,0.15068827984765262
494,0.9013211438514048
495,0.45689803094969533
496,0.2353188073902406
497,0.4565233559135187
498,0.24773720033111551
499,0.8449539625557727
500,0.9604674857522241
501,0.16299489411163814
502,0.27240381252559226
503,0.629584337378111
504,0.2658351052419472
505,0.5566078968501652
506,0.2714088276038947
507,0.09880191904235312
508,0.9480879611532453
509,0.8797630147393051
510,0.6874271591415657
511,0.7528454100454676
512,0.5485220431551383
513,0.2027941090803759
514,0.14433890906358776
515,0.5338083527883941
516,0.15597965453315832
517,0.08800209058582115
518,0.33710458460153586
519,0.9067516008041159
520,0.22172593228917017
521,0.10786329271472248
522,0.1603522063514034
523,0.9426085876708393
524,0.7124163126852436
525,0.0758404589227723
526,0.9471376873740049
527,0.7860273627935613
528,0.7477535293114994
529,0.20867352648722687
530,0.31801011651088623
531,0.10269778530860835
532,0.549843084418264
533,0.10809927009574267
534,0.8829768863192301
535,0.9503540305445257
536,0.5618870685884136
537,0.10000344247033095
538,0.14978654381407505
539,0.5804290879133632
540,0.6948876618896296
541,0.9464468808647322
542,0.8168634381171542
543,0.8265619554327384
544,0.2229503814487373
545,0.12539047415459809
546,0.0960917785855942
547,0.16506826812710382
548,0.14199404615091682
549,0.9034605071017348
550,0.5970837249968651
551,0.12516181828799644
552,0.15837827931599074
553,0.32651738228333765
554,0.10449345128791215
555,0.43815235166535804
556,0.2710457876233098
557,0.9476953799123891
558,0.12410529788553645
559,0.17414483939660225
560,0.5873253808091732
561,0.9253050982435947
562,0.554112503882955
563,0.17190093661367895
564,0.9410517626199746
565,0.5128467353959978
566,0.1680813017716784
567,0.22354098651463183
568,0.9479026910047339
569,0.8366703877608401
570,0.27386686526276016
571,0.09461795007190124
572,0.32589832568554855
573,0.6787726729040489
574,0.3397077190378317
575,0.9501894082145855
576,0.9491791658151534
577,0.29202700833779077
578,0.2465389583638624
579,0.3107414182644747
580,0.24946025538005492
581,0.3807036542342931
582,0.8242232228935025
583,0.8322704511472516
584,0.20761584891093232
585,0.4126347091541104
586,0.6835298051877338
587,0.21717570016174384
588,0.9403016032153885
589,0.6200651687246287
590,0.8625521448584756
591,0.9604674857522241
592,0.9485484866109501
593,0.8880488807742206
594,0.14793722464252482
595,0.42745969964432834
596,0.7816042395278867
597,0.0732341507128513
598,0.9338862670297448
599,0.17547776199316817
600,0.9514352298737109
601,0.23982739192792293
602,0.2007998390979022
603,0.9586886926246511
604,0.29755671048042964
605,0.1067787382752778
606,0.9153168890501276
607,0.9345767086417309
608,0.3977055739371251
609,0.17570378689205696
610,0.10772340258805325
611,0.823395471639464
612,0.15128056421893485
613,0.5342074679682328
614,0.763650819205576
615,0.8155698515946699
616,0.7689441087370226
617,0.12244308294127254
618,0.9028558086191346
619,0.9384322666152317
620,0.16650920307513356
621,0.7414390250039494
622,0.937865820506999
623,0.4486578826108804
624,0.6924422602218959
625,0.8267731842473262
626,0.9302038935389456
627,0.9477046880053491
628,0.6165190101185456
629,0.9639967264521324
630,0.9321816104763196
631,0.15829760625359635
632,0.9047905828991272
633,0.8569940137476028
634,0.3684967915076347
635,0.4363256102308143
636,0.3635580379904547
637,0.19119649494882204
638,0.875004026583391
639,0.8509295223000508
640,0.19903125080121298
641,0.3484520402583233
642,0.22327411747276374
643,0.9444682074002845
644,0.9151706387313671
645,0.7349784974426408
646,0.5531555524404722
647,0.941664887422683
648,0.12993302259115966
649,0.1647937158838814
650,0.0763563988919417
651,0.08536612199274594
652,0.44216269067391123
653,0.39703267836440675
654,0.13890867997209524
655,0.9595833465380547
656,0.9321656418915879
657,0.1905386200002143
658,0.23299209612208005
659,0.1986117743223128
660,0.9364166504423779
661,0.36276603059239576
662,0.9525042097584485
663,0.6715966292855778
664,0.9255926247126754
665,0.1837620996631976
666,0.893497506047497
667,0.9332777838467926
668,0.87088478016865
669,0.9156891236607368
670,0.4272654696752007
671,0.7421323069875659
672,0.2475667670526932
673,0.7641988269314537
674,0.06208435187228762
675,0.15726589974414967
676,0.7458755948684511
677,0.3012040122138475
678,0.3263872313020324
679,0.30693271514019305
680,0.8399974424313988
681,0.12349809954576746
682,0.7284300458268937
683,0.9460638531509507
684,0.7592031528930487
685,0.8517966124316895
686,0.7690366538923583
687,0.5665161994387435
688,0.8750242934919106
689,0.254559432827861
690,0.6723184933640829
691,0.20867352648722687
692,0.07796525303993082
693,0.9613148180985653
694,0.8953311759839594
695,0.20573222276515524
696,0.9334829217774426
697,0.6902755719868563
698,0.6602581516411926
699,0.954205802283233
700,0.47873887191623293
701,0.06305484115260883
702,0.9038017570131736
703,0.7888756571451516
704,0.7060368232567917
705,0.8244330760294435
706,0.16684976416862057
707,0.8968298292253636
708,0.9414962864350577
709,0.9172434061935646
710,0.9340528986092953
711,0.23311429685689508
712,0.34577012829223375
713,0.8686180726950613
714,0.25525221125850683
715,0.2037887800864267
716,0.4686385151917274
717,0.06376262978567734
718,0.20944935855938474
719,0.8970292882981289
720,0.3055046917212484
721,0.9256952756815526
722,0.9184304284432542
723,0.8551369066384398
724,0.43900204221211886
725,0.9302936348020687
726,0.061716954097006754
727,0.45232113165547383
728,0.8554341948186382
729,0.1514031042378767
730,0.11378694171250266
731,0.9028558086191346
732,0.6514432666876643
733,0.946897797937224
734,0.9619314039869251
735,0.1440204220852624
736,0.1684075254275165
737,0.6084396774169825
738,0.903436102030129
739,0.9618439167799017
740,0.29816223496923255
741,0.35452862742191454
742,0.10500728725336676
743,0.9203981052214794
744,0.8765227145568086
745,0.1373631862050681
746,0.13024687518310077
747,0.9426695114524815
