,result
0,0.8663788864295989
1,0.15159230963107734
2,0.9061643152746366
3,0.9677922390329469
4,0.30119548038108007
5,0.14721486984201165
6,0.9677922390329469
7,0.5378033951544564
8,0.6522159502018339
9,0.41238518890997156
10,0.8883264264588216
11,0.3506978947497028
12,0.9160166498617686
13,0.4261887922122354
14,0.9194641626396214
15,0.9642422283438793
16,0.16442322283870103
17,0.26286407322405675
18,0.9477989248750343
19,0.20869468424697493
20,0.9541777139523172
21,0.12794073727274502
22,0.6354482477973881
23,0.14917899523798497
24,0.12430105060254282
25,0.8680997158480428
26,0.40101004175286686
27,0.9544039311759529
28,0.43659013350869574
29,0.3608165565154974
30,0.8500177159399064
31,0.18347367871712206
32,0.1611951125115287
33,0.9211803574507661
34,0.12439705839113488
35,0.48548968417486915
36,0.13687354435267218
37,0.898526949485828
38,0.13269549205987843
39,0.12715833530818543
40,0.5335918042327327
41,0.7085703863941811
42,0.1612777802770134
43,0.413766324995909
44,0.15953406352332317
45,0.8686374864324276
46,0.7553368767767475
47,0.9677922390329469
48,0.24446063657521389
49,0.15228078580938803
50,0.4618271969681299
51,0.4759448005047995
52,0.7393295724348938
53,0.7139417824343204
54,0.9503044113627648
55,0.48676885398932945
56,0.8975189543496961
57,0.9427140121793607
58,0.16660253187235416
59,0.14349819747597622
60,0.9672917495885069
61,0.3260236275521196
62,0.17874744243597798
63,0.49048883465594595
64,0.5018787605230551
65,0.6655626587674739
66,0.15060623545031376
67,0.2139830876670836
68,0.935177042351499
69,0.4263030733360188
70,0.11185109352204087
71,0.9557392656396053
72,0.45338227486152477
73,0.7594035563223325
74,0.9533141173128499
75,0.467780922120048
76,0.6359825832918063
77,0.9404392048299359
78,0.29842946911304896
79,0.2344391433617581
80,0.12231785157391979
81,0.9052106564624162
82,0.1285772459939177
83,0.16714066182550943
84,0.2772662771668471
85,0.22475882960815796
86,0.9184539141591609
87,0.7956242402743318
88,0.13680918412682472
89,0.5024369569904916
90,0.6522602257921092
91,0.9440430852812596
92,0.4385262436729825
93,0.9403076163948999
94,0.8379325828399478
95,0.8351903861077347
96,0.14643589046526795
97,0.5788554409220024
98,0.8755991309593004
99,0.9070996216371885
100,0.9672917495885069
101,0.21419620641270173
102,0.34578873060771215
103,0.7837276687693936
104,0.8239315661658572
105,0.7630435900338856
106,0.8673040974376359
107,0.44963155538021776
108,0.6725051110544935
109,0.14404345000528795
110,0.13504548661138693
111,0.9539925082777027
112,0.15317262806915335
113,0.21681517688763863
114,0.14342348213899944
115,0.10825567192954309
116,0.5001792498008452
117,0.24021830229080987
118,0.9202032442822922
119,0.24584560083885007
120,0.9559437425858361
121,0.9504539980939849
122,0.5215804387735214
123,0.20008401646569893
124,0.7067176818407459
125,0.7666331296646517
126,0.15764906598185147
127,0.9677922390329469
128,0.18535501203153912
129,0.7411412865322923
130,0.36917940430936474
131,0.2874809266933274
132,0.7342795645123251
133,0.6531711104102843
134,0.8586026449485965
135,0.6544302421033251
136,0.8965808591694002
137,0.9632367854597048
138,0.23327799838006733
139,0.9330622041738839
140,0.9539125399474138
141,0.6596505059231725
142,0.20128050304001877
143,0.13007596480296219
144,0.6492081179920095
145,0.1572805774526448
146,0.9626682376038015
147,0.9414313968278468
148,0.22793243279623268
149,0.9560133094750255
150,0.3997358416605875
151,0.17472818960547298
152,0.3766024565533979
153,0.398382562291835
154,0.960814296045091
155,0.8741118723177504
156,0.25744474510863025
157,0.22654921512482623
158,0.8593475677708838
159,0.33262478020391545
160,0.7619632551035969
161,0.9663561839061826
162,0.7635415679046035
163,0.9668704987192676
164,0.698562328588316
165,0.12698562952835868
166,0.9188728176489542
167,0.16387582728920752
168,0.2949086107702989
169,0.9343911042780433
170,0.11484850173011475
171,0.17952627929006523
172,0.4175920638711465
173,0.34154344872031633
174,0.9371533472916461
175,0.21932426113860126
176,0.7182624506437141
177,0.14188196854395793
178,0.6540580888251892
179,0.23355503807843364
180,0.8040638178458426
181,0.9557095656458855
182,0.16841222475761816
183,0.9379849800112142
184,0.30302525392989027
185,0.9558292748834946
186,0.15747227861494995
187,0.6505453269236499
188,0.9668704987192676
189,0.40824021128442817
190,0.11328176894387937
191,0.5619913104420287
192,0.6105002507836829
193,0.7576642073232311
194,0.9668704987192676
195,0.4440179744944131
196,0.29632806653264193
197,0.3632844787880971
198,0.9271903724622571
199,0.8203968486708066
200,0.5869360596557125
201,0.9663561839061826
202,0.11829392480714161
203,0.9421216562055788
204,0.9059143070045804
205,0.8634222121547663
206,0.9397700360708582
207,0.9455567084843836
208,0.3324095166115685
209,0.6058816488640897
210,0.14248601570769606
211,0.1409144003874623
212,0.11635136931422863
213,0.9510948103321337
214,0.915169248395842
215,0.10948721173819136
216,0.8057891773133224
217,0.9442659435938453
218,0.8063753641964674
219,0.9257498160361732
220,0.49745574260085607
221,0.5423340159658615
222,0.1998170066788506
223,0.22940495663014832
224,0.17941979953563358
225,0.3366614148866492
226,0.7385623420041738
227,0.12900594962029596
228,0.24543085725784633
229,0.29148382002210815
230,0.27112448476620016
231,0.9677922390329469
232,0.9260135699990312
233,0.37108779791603064
234,0.8471575193364176
235,0.32226442445763714
236,0.16726155631122763
237,0.9510983110615494
238,0.9668704987192676
239,0.739747712925928
240,0.17227422090304756
241,0.1722456619412894
242,0.17204304797675746
243,0.2380209610019674
244,0.9288974036650682
245,0.181020478884066
246,0.31082655451906127
247,0.3445946342812554
248,0.4744116358410019
249,0.8873788732586342
250,0.8940637593343115
251,0.3672151117794166
252,0.9663561839061826
253,0.42868008157229903
254,0.8749632167662659
255,0.22294249168742958
256,0.9077672652440403
257,0.885057729279567
258,0.3587282219641112
259,0.11637892905840758
260,0.9456988296553883
261,0.8524447033209555
262,0.67644080846401
263,0.18347804123051908
264,0.9221968214301596
265,0.1470181958917771
266,0.936315307183471
267,0.9185818603718273
268,0.7728332384249974
269,0.5198256201771347
270,0.27684371272406755
271,0.9362473927404802
272,0.928272361763119
273,0.9677922390329469
274,0.8906714399345247
275,0.9415134416943369
276,0.8277544477983257
277,0.24100392102223803
278,0.832286140910905
279,0.4044709026842056
280,0.8970041444875616
281,0.9227143885203933
282,0.5811895361709805
283,0.8498196101639499
284,0.9149530137082221
285,0.5976987216548164
286,0.4755437498028553
287,0.8206136200632383
288,0.9668704987192676
289,0.49785312747092764
290,0.9663561839061826
291,0.23945906789780888
292,0.41928177498049696
293,0.15055915784442228
294,0.14120058525293286
295,0.9324249311905636
296,0.9677922390329469
297,0.2651705798658785
298,0.7646290548109766
299,0.892080036025292
300,0.9124447374415637
301,0.9549502008789924
302,0.8788057730054679
303,0.12053197087240684
304,0.1348313043045155
305,0.7985900706217426
306,0.3553407487825325
307,0.5458912866242671
308,0.9382969689729258
309,0.20124841532972618
310,0.6468457009382218
311,0.14739342252120902
312,0.20849167327200496
313,0.8295211351913389
314,0.31473508320993115
315,0.11903529027137265
316,0.8833104746661874
317,0.6977102442849492
318,0.1378385539914341
319,0.2648078958863819
320,0.5522998426007839
321,0.3411805688647115
322,0.2781908417763055
323,0.2166662633111558
324,0.13466133132266345
325,0.5394364641413858
326,0.21527740527364603
327,0.23703394802211447
328,0.7326256280566356
329,0.9677922390329469
330,0.17260714161657417
331,0.15582433515817432
332,0.1487559510891833
333,0.9601495407171253
334,0.9141326039531597
335,0.34520925921789863
336,0.8986063383599925
337,0.9367779162061074
338,0.8957661095391839
339,0.39195345135566634
340,0.2371079232714529
341,0.6832190756916819
342,0.9636886436262481
343,0.18468164104148901
344,0.9588220048471425
345,0.9336621636674732
346,0.8133590948426868
347,0.813019092146305
348,0.5382846852057535
349,0.9481851939228682
350,0.8925044637880237
351,0.1337461952094797
352,0.9263887051819991
353,0.26047669347547264
354,0.9285639934334027
355,0.539625049862006
356,0.23485432527760872
357,0.566459175173934
358,0.23218541520146932
359,0.6033442208540325
360,0.17866526137645478
361,0.5185643474051039
362,0.6068168518398146
363,0.18786589458161412
364,0.2857357718177834
365,0.27148519041860714
366,0.144291747679268
367,0.2375639260815559
368,0.39712624924280143
369,0.8056612842817553
370,0.9515937732270077
371,0.926221189100059
372,0.2833512585227748
373,0.13323609352344432
374,0.9054662533419336
375,0.8965919844641773
376,0.1834760036321136
377,0.24155374884260827
378,0.5921191966741988
379,0.6573399501133307
380,0.34636277875722216
381,0.24703138324435273
382,0.5611384619195353
383,0.888398178794687
384,0.9668704987192676
385,0.25836857989601586
386,0.8374744578657685
387,0.9668704987192676
388,0.9502453969661173
389,0.16049996690056995
390,0.9632367854597048
391,0.35934464220500617
392,0.32162517013184794
393,0.3510746260973587
394,0.7888665171321799
395,0.6065626894223944
396,0.931517628014451
397,0.5435667301088454
398,0.862802475289762
399,0.34848513858622326
400,0.918087146225528
401,0.45079124748306665
402,0.2445721456501699
403,0.9672917495885069
404,0.9543226818780705
405,0.4700002081213189
406,0.7002354491331578
407,0.280428563020445
408,0.914689280051362
409,0.3478496260123075
410,0.8751627189062315
411,0.6350270966973536
412,0.14505487092614686
413,0.3096939428765688
414,0.26861919535447737
415,0.21323053540302203
416,0.7389446410809604
417,0.9321288777549989
418,0.14619726724933915
419,0.17016704977288985
420,0.2849824363879359
421,0.12660038341491198
422,0.1646472518293419
423,0.32892714413057594
424,0.47050704463076687
425,0.5165186375371505
426,0.9279138526787187
427,0.6233891150264008
428,0.4921828575276739
429,0.299312518868884
430,0.14369984816949674
431,0.9417984934764769
432,0.9591597867756012
433,0.8101427604545937
434,0.27805325856217694
435,0.9561868767223858
436,0.9501501618567441
437,0.66204775552137
438,0.19960570737998826
439,0.9672917495885069
440,0.21325473731029723
441,0.6463027012105615
442,0.6046120227038682
443,0.2431797820845164
444,0.8082470598551589
445,0.8141430331367628
446,0.15565854832163614
447,0.15383125286107643
448,0.4627120206683168
449,0.20323771361366794
450,0.9540166430895852
451,0.3015332002350576
452,0.947370779475076
453,0.5677911075160069
454,0.8796375503263337
455,0.6569132847274938
456,0.1664373880101841
457,0.9531305739427213
458,0.9401054574506981
459,0.14039998450380062
460,0.8867470204345316
461,0.18812684793263662
462,0.13773115981944015
463,0.9516853082430782
464,0.9248537599330661
465,0.36754693200143185
466,0.7886222579823982
467,0.21810225079204615
468,0.2790387361744988
469,0.9652344639692639
470,0.2603729447346128
471,0.2767413028114234
472,0.8696920571091651
473,0.43448478006769764
474,0.23955873040982742
475,0.5203755366292028
476,0.9320072497842555
477,0.3554152528778628
478,0.22084739290810218
479,0.8864345933684045
480,0.2073919939956728
481,0.18857035487648202
482,0.891163581793972
483,0.13305006720707815
